Date,Capital,,1000000000
1/1/1960,55882000000,,
1/1/1961,58473000000,,
1/1/1962,61819000000,,
1/1/1963,67669000000,,
1/1/1964,75324000000,,
1/1/1965,90645000000,,
1/1/1966,99163000000,,
1/1/1967,1.01744E+11,,
1/1/1968,1.12182E+11,,
1/1/1969,1.23284E+11,,
1/1/1970,1.2352E+11,,
1/1/1971,1.34711E+11,,
1/1/1972,1.54967E+11,,
1/1/1973,1.80142E+11,,
1/1/1974,1.97569E+11,,
1/1/1975,2.02883E+11,,
1/1/1976,2.30244E+11,,
1/1/1977,2.75943E+11,,
1/1/1978,3.41428E+11,,
1/1/1979,3.91332E+11,,
1/1/1980,4.22755E+11,,
1/1/1981,5.03755E+11,,
1/1/1982,4.71521E+11,,
1/1/1983,5.14687E+11,,
1/1/1984,5.90903E+11,,
1/1/1985,6.18067E+11,,
1/1/1986,6.10553E+11,,
1/1/1987,6.30552E+11,,
1/1/1988,6.81924E+11,,
1/1/1989,7.27373E+11,,
1/1/1990,7.37519E+11,,
1/1/1991,7.176E+11,,
1/1/1992,7.68287E+11,,
1/1/1993,8.29642E+11,,
1/1/1994,9.06989E+11,,
1/1/1995,9.82059E+11,,
1/1/1996,1.0836E+12,,
1/1/1997,1.18112E+12,,
1/1/1998,1.29544E+12,,
1/1/1999,1.39505E+12,,
1/1/2000,1.52509E+12,,
1/1/2001,1.40886E+12,,
1/1/2002,1.33122E+12,,
1/1/2003,1.41186E+12,,
1/1/2004,1.53169E+12,,
1/1/2005,1.66867E+12,,
1/1/2006,1.84955E+12,,
1/1/2007,1.99712E+12,,
1/1/2008,1.91874E+12,,
1/1/2009,1.65932E+12,,
1/1/2010,1.80185E+12,,
1/1/2011,2.00898E+12,,
1/1/2012,2.14862E+12,,
1/1/2013,2.29054E+12,,
1/1/2014,2.49233E+12,,
1/1/2015,2.50042E+12,,
1/1/2016,2.57182E+12,,
1/1/2017,2.73217E+12,,
1/1/2018,2.89868E+12,,
1/1/2019,3.0103E+12,,
1/1/2020,2.93409E+12,,
1/1/2021,3.16292E+12,,
1/1/2022,3.64389E+12,,
1/1/2023,3.90147E+12,,
1/1/2024,.,,
