Date,Employment Level
1/1/1960,65778000
1/1/1961,65900000
1/1/1962,66947000
1/1/1963,68213000
1/1/1964,69814000
1/1/1965,72062000
1/1/1966,73729000
1/1/1967,75473000
1/1/1968,76778000
1/1/1969,78740000
1/1/1970,78594000
1/1/1971,80471000
1/1/1972,83400000
1/1/1973,86401000
1/1/1974,86144000
1/1/1975,86665000
1/1/1976,89803000
1/1/1977,94105000
1/1/1978,97581000
1/1/1979,99933000
1/1/1980,99634000
1/1/1981,99645000
1/1/1982,99032000
1/1/1983,102996000
1/1/1984,106223000
1/1/1985,108216000
1/1/1986,110728000
1/1/1987,113793000
1/1/1988,116104000
1/1/1989,117830000
1/1/1990,118241000
1/1/1991,117466000
1/1/1992,118997000
1/1/1993,121464000
1/1/1994,124721000
1/1/1995,125088000
1/1/1996,127860000
1/1/1997,130679000
1/1/1998,132602000
1/1/1999,134523000
1/1/2000,137614000
1/1/2001,136047000
1/1/2002,136426000
1/1/2003,138411000
1/1/2004,140125000
1/1/2005,142752000
1/1/2006,145970000
1/1/2007,146273000
1/1/2008,143369000
1/1/2009,138013000
1/1/2010,139301000
1/1/2011,140902000
1/1/2012,143330000
1/1/2013,144778000
1/1/2014,147615000
1/1/2015,150128000
1/1/2016,152157000
1/1/2017,153904000
1/1/2018,156817000
1/1/2019,158845000
