Date,TFP
1/1/1960,100
1/1/1961,100.94426
1/1/1962,103.17904
1/1/1963,104.68342
1/1/1964,106.32677
1/1/1965,107.99956
1/1/1966,109.64592
1/1/1967,109.16297
1/1/1968,110.60988
1/1/1969,109.85782
1/1/1970,109.25254
1/1/1971,111.41773
1/1/1972,113.16512
1/1/1973,114.71559
1/1/1974,111.60508
1/1/1975,111.73
1/1/1976,113.92465
1/1/1977,114.68438
1/1/1978,115.35894
1/1/1979,114.50314
1/1/1980,112.49266
1/1/1981,113.20111
1/1/1982,111.04711
1/1/1983,113.26217
1/1/1984,115.74184
1/1/1985,116.69983
1/1/1986,117.96262
1/1/1987,118.01122
1/1/1988,119.13446
1/1/1989,119.72966
1/1/1990,120.2596
1/1/1991,119.86583
1/1/1992,122.84499
1/1/1993,123.00815
1/1/1994,123.73601
1/1/1995,123.50216
1/1/1996,124.59919
1/1/1997,125.7141
1/1/1998,126.95208
1/1/1999,128.69474
1/1/2000,130.00796
1/1/2001,130.24592
1/1/2002,131.99648
1/1/2003,134.53221
1/1/2004,136.87229
1/1/2005,138.37199
1/1/2006,138.45457
1/1/2007,138.18632
1/1/2008,137.28133
1/1/2009,137.32291
1/1/2010,139.57532
1/1/2011,139.29744
1/1/2012,139.64751
1/1/2013,139.90881
1/1/2014,140.56015
1/1/2015,141.82304
1/1/2016,141.94173
1/1/2017,142.83823
1/1/2018,144.00464
1/1/2019,145.23738
