countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
USA,United States,US Dollar,1950,2447946,2475628,156,63,"1,990",3,1910375,2485443,2491077,2487508,10563535,,,,2466595,2126257,2527651,10563268,,,,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,
USA,United States,US Dollar,1951,2620619,2660816,158,65,"2,032",3,2013418,2664891,2684319,2688160,10897412,,,,2665368,2266193,2710661,10898386,,,,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,
USA,United States,US Dollar,1952,2718999,2751934,161,66,"2,028",3,2133867,2790968,2799124,2795586,11257288,,,,2773903,2408120,2836555,11258935,,,,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,
USA,United States,US Dollar,1953,2852666,2878353,164,67,"2,021",3,2246224,2942662,2937958,2928556,11665734,,,,2904122,2528159,2989561,11667803,,,,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,
USA,United States,US Dollar,1954,2838249,2869544,167,66,"1,998",3,2250291,2912130,2914079,2910510,12055788,1,1,1,2887745,2526595,2961319,12058041,0,1,1,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
USA,United States,US Dollar,1955,3054621,3086558,170,67,"2,006",3,2373639,3121529,3124573,3119068,12493714,1,1,1,3093408,2658885,3174392,12496091,0,1,1,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
USA,United States,US Dollar,1956,3123382,3157588,173,69,"1,990",3,2407984,3172366,3187240,3184019,12927628,1,1,1,3159365,2715602,3230657,12930121,0,1,1,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
USA,United States,US Dollar,1957,3191923,3226405,176,69,"1,963",3,2466107,3230373,3257928,3252465,13351198,1,1,1,3225886,2789833,3291120,13353822,0,1,1,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
USA,United States,US Dollar,1958,3170179,3193747,179,68,"1,928",3,2489011,3236840,3240498,3228752,13734439,1,1,1,3202169,2818969,3295398,13737182,0,1,1,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
USA,United States,US Dollar,1959,3400212,3426016,182,70,"1,954",3,2583251,3459777,3462321,3452002,14218811,1,1,1,3423191,2944097,3523329,14221670,0,1,1,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
USA,United States,US Dollar,1960,3489114,3522116,185,71,"1,935",3,2674163,3537841,3565275,3540699,14693844,1,1,1,3510945,3011988,3589245,14693055,0,1,1,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
USA,United States,US Dollar,1961,3578861,3612333,188,71,"1,921",3,2769873,3624049,3655125,3630273,15186402,1,1,1,3600619,3081752,3679544,15185855,0,1,1,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
USA,United States,US Dollar,1962,3798578,3829603,191,72,"1,940",3,2930120,3846327,3871828,3852552,15740184,1,1,1,3820850,3247427,3914316,15739644,0,1,1,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
USA,United States,US Dollar,1963,3963096,4000103,193,73,"1,928",3,3024701,4002361,4032528,4019659,16341326,1,1,1,3987210,3366771,4076888,16340958,0,1,1,1,0,0,1,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
